,ANO,MÊS,GRANDE REGIÃO,UNIDADE DA FEDERAÇÃO,PRODUTOR,PRODUTO,PRODUÇÃO
6202,2010,JUL,REGIÃO CENTRO-OESTE,MATO GROSSO,USIBIO,BIODIESEL,0
6203,2010,JUL,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,TECNODIESEL,BIODIESEL,0
6204,2010,JUL,REGIÃO CENTRO-OESTE,GOIÁS,OLFAR,BIODIESEL,0
6205,2010,JUL,REGIÃO CENTRO-OESTE,MATO GROSSO,BIO BRAZILIAN,BIODIESEL,0
6206,2010,JUL,REGIÃO CENTRO-OESTE,GOIÁS,BIONASA,BIODIESEL,0
6207,2010,JUL,REGIÃO CENTRO-OESTE,MATO GROSSO,BIO OLEO,BIODIESEL,0
6208,2010,JUL,REGIÃO CENTRO-OESTE,MATO GROSSO,AGRENCO,BIODIESEL,0
6209,2010,JUL,REGIÃO CENTRO-OESTE,MATO GROSSO,JBS (EX-BRACOL EX-BERTIN),BIODIESEL,0
6210,2010,JUL,REGIÃO CENTRO-OESTE,MATO GROSSO,ALIANÇA,BIODIESEL,0
6211,2010,JUL,REGIÃO CENTRO-OESTE,MATO GROSSO,BUNGE,BIODIESEL,0
6212,2010,JUL,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,CARGILL,BIODIESEL,0
6213,2010,JUL,REGIÃO CENTRO-OESTE,MATO GROSSO,CARAMURU (SORRISO),BIODIESEL,0
6214,2010,JUL,REGIÃO CENTRO-OESTE,GOIÁS,CEREAL,BIODIESEL,0
6215,2010,AGO,REGIÃO CENTRO-OESTE,GOIÁS,JATAI,BIODIESEL,0
6216,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO,COFCO,BIODIESEL,0
6217,2010,AGO,REGIÃO CENTRO-OESTE,GOIÁS,MINERVA,BIODIESEL,0
6218,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,DELTA BIOCOMBUSTÍVEIS,BIODIESEL,0
6219,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO,DELTA CUIABA,BIODIESEL,0
6220,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO,COOPERBIO (LUCAS DO RIO VERDE),BIODIESEL,0
6221,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO,COOMISA,BIODIESEL,0
6222,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO,RENOBRAS,BIODIESEL,0
6223,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO,USIBIO,BIODIESEL,0
6224,2010,AGO,REGIÃO CENTRO-OESTE,GOIÁS,OLFAR,BIODIESEL,0
6225,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO,BIO BRAZILIAN,BIODIESEL,0
6226,2010,AGO,REGIÃO CENTRO-OESTE,GOIÁS,BIONASA,BIODIESEL,0
6227,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO,BIO OLEO,BIODIESEL,0
6228,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO,AGRENCO,BIODIESEL,0
6229,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO,JBS (EX-BRACOL EX-BERTIN),BIODIESEL,0
6230,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO,ALIANÇA,BIODIESEL,0
6231,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO,BUNGE,BIODIESEL,0
6232,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO,BARRALCOOL,BIODIESEL,0
6233,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO,CARAMURU (SORRISO),BIODIESEL,0
6234,2010,AGO,REGIÃO CENTRO-OESTE,GOIÁS,CEREAL,BIODIESEL,0
6235,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,CARGILL,BIODIESEL,0
6236,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO,BIO VIDA,BIODIESEL,0
6237,2010,NOV,REGIÃO CENTRO-OESTE,GOIÁS,JATAI,BIODIESEL,0
