ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTOR;PRODUTO;PRODUÇÃO
2005;MAR;REGIÃO SUDESTE;SÃO PAULO;INNOVATTI;BIODIESEL;0
2005;JUN;REGIÃO SUDESTE;SÃO PAULO;INNOVATTI;BIODIESEL;0
2005;JUL;REGIÃO SUDESTE;SÃO PAULO;INNOVATTI;BIODIESEL;0
2005;ABR;REGIÃO SUDESTE;SÃO PAULO;INNOVATTI;BIODIESEL;0
2005;MAI;REGIÃO SUDESTE;SÃO PAULO;INNOVATTI;BIODIESEL;0
2005;MAR;REGIÃO CENTRO-OESTE;MATO GROSSO;FIAGRIL;BIODIESEL;0
2005;JAN;REGIÃO CENTRO-OESTE;MATO GROSSO;DELTA CUIABA;BIODIESEL;0
2005;FEV;REGIÃO CENTRO-OESTE;MATO GROSSO;DELTA CUIABA;BIODIESEL;0
2005;NOV;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;DELTA BIOCOMBUSTÍVEIS;BIODIESEL;0
2005;DEZ;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;DELTA BIOCOMBUSTÍVEIS;BIODIESEL;0
2005;MAR;REGIÃO CENTRO-OESTE;MATO GROSSO;DELTA CUIABA;BIODIESEL;0
2005;JUN;REGIÃO CENTRO-OESTE;MATO GROSSO;DELTA CUIABA;BIODIESEL;0
2005;JUL;REGIÃO CENTRO-OESTE;MATO GROSSO;DELTA CUIABA;BIODIESEL;0
2005;ABR;REGIÃO CENTRO-OESTE;MATO GROSSO;DELTA CUIABA;BIODIESEL;0
2005;MAI;REGIÃO CENTRO-OESTE;MATO GROSSO;DELTA CUIABA;BIODIESEL;0
2005;ABR;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;DELTA BIOCOMBUSTÍVEIS;BIODIESEL;0
2005;MAI;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;DELTA BIOCOMBUSTÍVEIS;BIODIESEL;0
2005;FEV;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;DELTA BIOCOMBUSTÍVEIS;BIODIESEL;0
2005;MAR;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;DELTA BIOCOMBUSTÍVEIS;BIODIESEL;0
2005;JUN;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;DELTA BIOCOMBUSTÍVEIS;BIODIESEL;0
2005;SET;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;DELTA BIOCOMBUSTÍVEIS;BIODIESEL;0
2005;OUT;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;DELTA BIOCOMBUSTÍVEIS;BIODIESEL;0
2005;JUL;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;DELTA BIOCOMBUSTÍVEIS;BIODIESEL;0
2005;AGO;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;DELTA BIOCOMBUSTÍVEIS;BIODIESEL;0
2005;JUL;REGIÃO CENTRO-OESTE;MATO GROSSO;GRUPAL (EX-COOAMI);BIODIESEL;0
2005;AGO;REGIÃO CENTRO-OESTE;MATO GROSSO;GRUPAL (EX-COOAMI);BIODIESEL;0
2005;MAI;REGIÃO CENTRO-OESTE;MATO GROSSO;GRUPAL (EX-COOAMI);BIODIESEL;0
2005;JUN;REGIÃO CENTRO-OESTE;MATO GROSSO;GRUPAL (EX-COOAMI);BIODIESEL;0
2005;SET;REGIÃO CENTRO-OESTE;MATO GROSSO;GRUPAL (EX-COOAMI);BIODIESEL;0
2005;DEZ;REGIÃO CENTRO-OESTE;MATO GROSSO;GRUPAL (EX-COOAMI);BIODIESEL;0
